ROUTEID,R2,MODEL,MAE,RMSE,Weight
32_58,0.5468945467553685,RFR,-290.57265090904,-410.79292921465657,0.0035300755838534
13_61,0.5669224506355605,RFR,-596.221222388628,-861.34231282651,0.0034703503513572
32_57,0.5771126685221102,RFR,-319.103735212403,-450.4046518482324,0.0034310574352413
43_88,0.5747250021965126,RFR,-342.1334372119342,-500.07632841072535,0.0034184837020842
13_68,0.4245206634359884,RFR,-642.035444598198,-952.4562694685914,0.0033996231023486
65B_65,0.5595144302657549,RFR,-500.23184838642027,-815.171385480824,0.00339333623577
66_18,0.6644730409971071,RFR,-384.0256059754511,-559.9935556963775,0.0033540433196541
45A_60,0.5532671636792831,RFR,-342.0710558873598,-502.04831390206056,0.0032990332370918
17_10,0.7276581090451234,RFR,-450.5810715252166,-618.4547417760838,0.0032628837542652
66_17,0.6759753205403549,RFR,-377.3243594686299,-550.5513320246929,0.0032565968876867
40D_103,0.3295330671424717,KNNR,-228.15193958224447,-324.0103897271322,0.0032125888216368
65B_66,0.656317581017455,RFR,-589.6903585778127,-809.6378525393255,0.0031387181393389
45A_64,0.5962026328936688,RFR,-370.09429028071935,-532.0303545787114,0.003099425223223
270_44,0.3393344857428764,KNNR,-229.31894945259725,-338.0599762566653,0.0029988353579663
184_28,0.5939501570376045,RFR,-378.62718749063015,-491.6209107575773,0.0029736878916521
270_42,0.6394584107045933,RFR,-222.1517827016536,-345.3755868715452,0.0029422535587594
70_60,0.6563313415370446,RFR,-462.3424775778993,-661.6160691768832,0.0029406818421147
184_29,0.3289295541829089,LR,-295.6606140136719,-449.1976420084636,0.0029406818421147
44_36,0.6676061414327913,RFR,-456.6417310315198,-664.9785355487589,0.0029249646756684
47_139,0.6965041136325935,RFR,-416.6692399210585,-606.8981051283264,0.0029013889259988
61_108,0.6533791341384368,RFR,-304.83544766169445,-448.7911717769554,0.0028872434761971
44_40,0.6843228060512306,RFR,-416.6124405271679,-617.3453327490955,0.0028652394431722
47_136,0.7284144862339211,RFR,-327.34705903980785,-550.9304521111134,0.0028510939933704
15_19,0.5666051039364138,RFR,-480.57631704277054,-699.2318975469165,0.0028416636935026
70_67,0.7278984346943914,RFR,-417.0695664481207,-636.4106028991882,0.0027976556274528
61_106,0.6245773062843963,RFR,-353.6289165078568,-554.0306456851374,0.0027693647278494
17A_17,0.3551925448949983,RFR,-455.1280882758703,-587.9896666026257,0.0027552192780476
17A_15,0.343968758793562,RFR,-427.6709912557256,-575.285633941225,0.0026923506122622
25_269,0.5241797769127396,KNNR,-375.3931657848324,-570.1717783789987,0.002667203145948
56A_31,0.6137729080698192,RFR,-364.7139812766042,-548.1488065172229,0.0026436273962784
56A_30,0.7017012094830406,RFR,-316.896374989088,-526.618829513878,0.002563469847402
122_18,0.5666458347796609,RFR,-319.77581940282124,-433.30822832967925,0.0025587546974681
25_272,0.5670781384929725,RFR,-347.1375844564109,-510.1096376631101,0.0025320355145093
122_20,0.6020594236030242,RFR,-333.81606783263965,-449.8027858743008,0.0024880274484594
238_11,0.3815753379853821,RFR,-269.8620828602149,-432.4735107142554,0.0024000113163598
238_15,0.4480680358107394,RFR,-245.8390496501528,-374.2280769922692,0.002390581016492
40D_104,0.2196623915724607,RFR,-339.00053003595866,-454.22731437822745,0.0023685769834671
40D_102,0.447394943561412,RFR,-324.79924923006143,-470.9246923103353,0.0022994214511031
63_26,0.3120901682185285,KNNR,-406.5728547581405,-602.1895793862253,0.0022899911512352
66_13,0.6185181294359448,RFR,-434.7410746373898,-628.1212943429772,0.0022884194345906
