,STOPPOINTID,LAT,LNG,LOCATION
472,400,53.3448274,-6.253177299999999,Dublin
473,4347,53.2861084,-6.3730731,Tallaght
474,4436,53.28917190000001,-6.367054600000001,Tallaght
475,4522,53.34423020000001,-6.260608599999999,Dublin
476,4640,53.2893956,-6.3737471,Tallaght
477,4662,53.31331819999999,-6.341181099999999,Greenhills
478,4927,53.2748356,-6.3943477,Whitestown
479,4928,53.2759929,-6.3948591,Whitestown
480,4929,53.2808056,-6.4214178,Gibbons
481,4930,53.28756970000001,-6.422488400000001,Cooldown Commons
482,4931,53.2890188,-6.425359899999999,Cooldown Commons
483,5008,53.2904502,-6.369357,Tallaght
484,5133,53.29051009999999,-6.343059399999999,Tallaght
485,7459,53.2908338,-6.427307900000001,Cooldown Commons
486,7460,53.28263159999999,-6.421530499999998,Gibbons
487,192,53.3563972,-6.268076499999999,Dublin
488,276,53.37740220000001,-6.3317966,Ashtown
489,3,53.3282306,-6.2286415,Dublin
490,4481,53.3646144,-6.2869018,Cabra East
491,4485,53.36554160000001,-6.289509300000001,Cabra East
492,4499,53.3615685,-6.283222599999999,Cabra East
493,4500,53.36404739999999,-6.283723999999999,Cabra East
494,4538,53.3757281,-6.316907,Ashtown
495,4934,53.3628575,-6.282855199999999,Cabra East
496,5144,53.3727095,-6.306204999999999,Ashtown
497,5145,53.37719680000001,-6.326754299999998,Ashtown
498,56,54.193516,-6.334543999999999,Newry BT34 1AS
499,58,53.3609375,-6.2811813,Cabra East
500,6004,53.352903,-6.2605165,Rotunda
501,7027,53.3765279,-6.3117569,Ashtown
502,71,53.3702577,-6.304438799999999,Cabra West
503,72,53.3689699,-6.304264499999999,Cabra West
504,7396,53.37610889999999,-6.321611499999999,Ashtown
505,795,53.35874,-6.269724300000001,Dublin
506,796,53.3600182,-6.2698528,Dublin
507,822,53.36712069999999,-6.291820299999999,Cabra West
508,823,53.3682352,-6.2911897,Cabra West
509,824,53.3697479,-6.2932631,Cabra West
510,825,53.37042940000001,-6.296932799999999,Cabra West
511,826,53.37121789999999,-6.301169499999999,Cabra West
512,827,53.3712939,-6.303991899999999,Cabra West
513,1824,53.4008078,-6.3939324,Buzzardstown
514,1825,53.4017628,-6.3958172,Buzzardstown
515,1826,53.40594609999999,-6.3951018,Buzzardstown
516,1827,53.4070388,-6.3985612,Buzzardstown
517,1835,53.4000132,-6.375225200000001,Corduff
518,1836,43.97869199999999,10.8751441,51100 Pistoia
519,1837,53.3958084,-6.375133099999999,Deanestown
520,2289,53.4011559,-6.374879099999999,Corduff
521,2338,53.3930545,-6.377957500000001,Corduff
522,4323,53.3963289,-6.393912500000001,Coolmine
523,4980,53.40436039999999,-6.3730651,Snugborough
524,5071,53.4109562,-6.375982299999999,Cruiserath
525,5072,N/A,N/A,N/A
526,661,53.3924037,-6.383465500000001,Blanchardstown
527,7026,53.3938849,-6.392050999999999,Blanchardstown
528,7073,53.4190821,-6.378260099999999,Cruiserath
529,7097,53.4201483,-6.3848248,15-17 The Blvd
530,7098,53.4213507,-6.3878839,Cruiserath
531,7099,53.42191649999999,-6.391187700000001,Hollystown
532,7100,53.41977809999999,-6.3918027,Tyrrelstown
533,7101,N/A,N/A,N/A
534,7505,53.41759760000001,-6.386088000000001,Cruiserath
535,1036,53.2958118,-6.2590672,Rathmines Little
